         0          0
   2705955    7212243
   4300701    8524859
   3665094    7665707
   3574687    7861363
   3348312    7606777
   4403623    7099031
   3305563    7887932
   3786831    7522034
   4104139    8230928
   3898362    7976060
   3614082    8641099
   4440783    8039387
   2584856    7536917
   4994316    7773678
   3396839    8102019
   2646690    7805490
   4385371    8307773
   3341755    7804613
   4061909    8280401
   4908607    8190582
   3531988    8392062
   3585941    8912321
   3339375    8272344
   2642964    8511620
   4678669    8174513
   3384211    7772821
   3622162    8312617
   2910450    8285245
   3511714    8319900
   3274623    8067905
   3089607    7154971
   4163839    7298419
   4399874    7879794
   3631459    8365315
   2908230    8285245
   4362478    7882441
   3144918    8379946
   3941608    8545147
   3717483    6795578
   2689503    8138562
   4208551    7879161
   3397135    9039138
   3796008    8230928
   4829533    7433717
   4000964    8319900
   4336302    7387884
   4778874    7568944
   4180430    7976060
   4186102    7665707
   4237772    7645008
   4119803    8284048
   3589085    7548350
   3508019    8048866
   4208310    8265455
   2892063    8039387
   2805276    8173629
   4978643    8078465
   4143112    7491939
   3622162    8080824
   4636445    8894080
   4158534    7871150
   3718477    9397218
   4146477    7939204
   3856189    8320485
   3718477    6859245
   4385371    8349932
   4342788    7976060
   3222267    7976060
   4314092    7859413
   4163839    7320228
   3812642    8600246
   2999967    8081334
   3808159    7665707
   3538433    7372798
   3923784    7440631
   4678669    7584819
   4275263    7617666
   2989766    7272798
   2999967    8854236
   3236030    7561238
   4875588    7831326
   4134467    8272344
   3514269    7395811
   4342788    8185921
   4002843    8189598
   3267910    8026106
   3563315    9456856
   4930975    7098197
   4208310    8125552
   3977401    8568556
   4710989    7511484
   4061909    8317040
   4458875    7562689
   4527127    8084496
   4414097    7145683
   3225056    8393085
   3723051    8379946
   4077734    8329708
   2876556    7455904
   4006326    8608722
   4377783    9397218
   4051238    7683186
   2972322    7628777
   3726259    7875786
   4569784    8707321
   3759410    7058301
   4057516    8136764
   4930975    8175430
   4000442    7947843
   3745497    7419709
   4395016    8278264
   3923784    7702456
   3680361    8296501
   4284425    8641099
   3149818    7998088
   2689503    8308423
   4552155    7255583
   3343452    7992245
   3894373    7536344
   3562691    7629324
   4153365    7539049
   3292351    9429136
   3937555    7536344
   4133486    7417412
   4180430    8568556
   3803716    7713223
   4258951    7089436
   3292351    7575109
   3305563    7858460
   3388096    8217271
   3697151    7220171
   4611766    7889726
   3523665    7628777
   4219908    7892403
   3390624    7575297
   4033663    7747386
   3522974    7905376
   4377783    8304343
   3574687    8216526
   4427378    8196644
   4207290    8394626
   4079963    8576407
   4033663    7372798
   3558105    8580110
   3680361    7501604
   3558105    7926341
   3883280    8513228
   3718233    7600933
   4234445    8251523
   3624382    8173629
   3774282    7960556
   5108458    7669417
   4002843    8387591
   4399874    8185921
   3901069    7072422
   3796008    7800170
   3661100    8321887
   4208551    7859413
   3417576    8914678
   4275263    8030294
   3883280    8431980
   3511714    8478565
   4131703    8163975
   3341149    7848017
   3065563    7320228
   4200208    7533874
   4350500    7648560
   3954296    7224972
   3341755    8480916
   2894584    7853120
   4678669    7711998
   3901069    7669417
   3569606    7812122
   3801415    8275328
   3469308    6844003
   3713749    8137612
   3303660    8210256
   4000608    7312553
   4006326    8045567
   3511714    8409897
   4477849    7617666
   4134467    8224564
   3600760    7562689
   3439700    7235716
   4861981    8891716
   4103117    8103512
   5085403    8163975
   4404325    7332188
   3796008    8608722
   3661100    8230928
   3675937    8768645
   4228112    7911047
   3771289    7395811
   4835179    7354106
   4166977    8627120
   3941608    8206977
   4095965    7648321
   3764548    8145322
   3684130    7012902
   3785151    7484862
   4347084    8078465
   4237982    8280401
   4269481    8142690
   2892063    8081334
   3303660    8074700
   4468538    6739470
   3305563    7365323
   3553880    8138562
   2759980    8871419
   3292788    7419709
   4978643    7870376
   4319517    8370702
   3705345    8086030
   3533366    8861396
   3793651    7142236
   3119976    8672066
   3868720    7947843
   3883280    7798760
   3745497    8210123
   4466834    8303137
   4814859    8037316
   4468538    8280401
   4710989    8189598
   3863201    7058301
   5034789    7992245
   4101719    7720229
   3535594    7791862
   4109553    8025746
   3419026    8607410
   4202973    8224564
   4376540    7812122
   4163839    8370702
   3742119    8319900
   3860708    8387591
   2989766    8796335
   4989292    8039387
   3704596    7562689
   3950781    7422885
   3274623    7898141
   3265984    7600933
   3898126    8297306
   4473358    7645008
   4207290    7584101
   2689503    8188433
   4468538    7490811
   3225056    8103512
   3697151    8480916
   4452447    7803490
   4679241    8259376
   4377783    8257720
   3381005    7314799
   2450152    7761358
   4066573    7484862
   4002843    8576407
   3962791    8767856
   3665094    7700587
   3310848    7652829
   4710989    7387884
   4143112    6801487
   4305306    8067905
   4403623    7831326
   4369938    8912321
   3265984    7872917
   5259686    7953056
   3580883    8600679
   3967258    7471659
   4133486    7920438
   3987725    7422885
   3614082    7463693
   4335502    8278264
   4051238    8308423
   4076781    8206977
